PosX,PosY,SurfaceValue
-1.36364,1.06061,2.9333
2.87879,2.87879,1.66876
-1.9697,1.9697,1.18507
3.18182,2.87879,0.632265
-0.151515,-3.48485,2.32867
0.151515,2.57576,2.00735
-1.66667,-2.57576,0.342045
2.57576,-4.39394,0
3.78788,2.87879,0.05528
4.09091,2.87879,0
4.69697,2.87879,0.127835
2.57576,-0.454545,0.13129
-3.78788,1.66667,2.23193
5,2.87879,2.07991
-1.66667,-3.18182,0.742825
-5,-4.69697,3.32026
-4.39394,2.57576,2.03845
2.57576,1.9697,2.28721
-4.09091,2.57576,2.09373
-3.78788,2.57576,2.13174
-3.18182,2.57576,1.77587
-0.757576,-2.87879,0.252215
-2.57576,2.57576,1.25071
0.757576,0.757576,2.64307
0.757576,-3.78788,0.0691
-2.27273,2.57576,1.1436
-1.66667,2.57576,1.7655
-1.06061,-1.36364,0.024185
0.757576,1.36364,1.0745
1.06061,-3.48485,1.28526
-1.06061,2.57576,1.03996
-0.454545,2.57576,1.41655
-0.151515,2.57576,1.24725
0.454545,2.57576,2.43232
-1.06061,1.9697,1.58584
0.757576,2.57576,2.52215
1.06061,2.57576,1.71022
1.06061,-1.36364,0.26949
1.66667,2.57576,1.49256
1.9697,2.57576,2.08336
2.57576,-2.87879,0.37314
2.57576,2.57576,1.1367
3.18182,2.57576,0.639175
3.48485,2.57576,0.238395
3.78788,2.57576,0.397325
0.454545,1.06061,2.36322
4.09091,2.57576,0.11747
5,-4.69697,3.03004
4.39394,2.57576,0.1382
-0.151515,0.757576,0
-0.151515,-3.78788,0
-5,2.27273,3.36172
2.87879,0.757576,1.38546
-4.69697,2.27273,1.72405
2.87879,-3.78788,0
-4.39394,-1.06061,1.51329
-1.9697,-1.36364,0.09674
-2.27273,1.9697,1.22652
4.09091,1.9697,0.12438
-4.09091,2.27273,2.32176
-3.78788,2.27273,2.32522
1.06061,1.06061,1.77242
-3.48485,2.27273,2.23884
-1.9697,2.27273,1.22307
2.27273,-3.18182,1.29908
-1.06061,2.27273,0.943215
4.69697,-3.48485,0.64263
-1.66667,-1.36364,0.04837
-0.757576,2.27273,1.44073
0.151515,2.27273,0.604625
0.454545,2.27273,1.67568
1.06061,2.27273,1.26798
1.66667,2.27273,1.34054
5,-3.18182,0
1.9697,2.27273,1.39236
2.27273,2.27273,0.84993
2.57576,2.27273,1.47874
2.87879,2.27273,1.7655
3.18182,2.27273,0.67718
3.48485,2.27273,0.224575
3.78788,2.27273,0.78774
4.09091,2.27273,0.127835
4.69697,2.27273,0.328225
0.151515,0.757576,2.74673
0.151515,-3.78788,0
5,2.27273,0
-4.39394,1.9697,1.64458
2.87879,-1.36364,0.09674
-2.57576,-2.57576,2.24575
-4.09091,1.9697,1.80696
-3.48485,1.9697,2.81237
3.18182,1.66667,0.84993
-1.36364,1.9697,1.04341
-0.757576,1.9697,1.22998
-0.151515,1.9697,0.9674
3.78788,-3.48485,0.673725
4.69697,-1.06061,0.09674
0.454545,1.9697,1.83115
1.06061,1.66667,2.00735
0.757576,1.9697,2.61543
-0.454545,-1.36364,0.19348
1.36364,1.9697,1.83115
1.66667,1.9697,2.25266
3.18182,1.9697,0.93285
-4.69697,0.757576,1.44764
-4.69697,-3.78788,3.15096
-4.09091,-0.454545,1.63421
2.57576,-5,3.53447
3.48485,1.9697,0.11747
3.78788,1.9697,0.065645
4.39394,1.9697,0.22112
-3.78788,-2.27273,1.86224
4.09091,-4.69697,0
5,1.9697,0.93285
-2.87879,-5,3.35826
1.66667,-1.66667,0.500975
-4.69697,1.66667,1.56857
-4.39394,1.66667,1.61348
-4.09091,1.66667,1.88297
-2.87879,1.66667,0
1.36364,1.36364,1.06414
0.454545,1.36364,1.42346
-2.57576,1.66667,2.35285
-0.454545,-4.39394,1.14015
-0.757576,0.757576,0.98813
-0.757576,-3.78788,0
-1.9697,1.66667,1.58584
-2.87879,-4.39394,0
-1.06061,1.66667,1.53747
-5,-0.454545,1.49947
-0.454545,1.66667,1.71368
-0.151515,1.66667,2.79164
2.87879,-1.9697,0.058735
0.151515,1.66667,1.98317
1.36364,1.66667,1.69986
1.9697,1.66667,0.963945
-3.78788,-0.454545,1.63421
2.57576,1.66667,2.11791
3.48485,1.66667,0.78774
2.27273,-0.454545,1.17815
3.78788,1.66667,0
4.09091,1.66667,0.127835
-4.09091,-1.66667,1.64804
